ensembl_gene_id,gene_symbol,entrez_id,description,rbpworld_family,species,common_name,group,neurons,genome_mb,cell_types,data_source,protein_type,is_canonical
ENSG00000020256,ZFP64,55734,ZFP64 zinc finger protein,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000020922,MRE11,4361,"MRE11 homolog, double strand break repair nuclease",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000021776,AQR,9716,aquarius intron-binding spliceosomal factor,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000021826,CPS1,1373,carbamoyl-phosphate synthase 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000022277,RTF2,51507,replication termination factor 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000023228,NDUFS1,4719,NADH:ubiquinone oxidoreductase core subunit S1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000023287,RB1CC1,9821,RB1 inducible coiled-coil 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000023318,ERP44,23071,endoplasmic reticulum protein 44,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000023909,GCLM,2730,glutamate-cysteine ligase modifier subunit,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000024422,EHD2,30846,EH domain containing 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000025772,TOMM34,10953,translocase of outer mitochondrial membrane 34,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000025796,SEC63,11231,"SEC63 homolog, protein translocation regulator",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000025800,KPNA6,23633,karyopherin subunit alpha 6,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000026025,VIM,7431,vimentin,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000026297,RNASET2,8635,ribonuclease T2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000029363,BCLAF1,9774,BCL2 associated transcription factor 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000029639,TFB1M,51106,"transcription factor B1, mitochondrial",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000029993,HMGB3,3149,high mobility group box 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
