species,common_name,pfam_id,family,n_genes,go_terms
Mus_musculus,Mouse,PF00575,S1,8,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF00638,Ran_BP1,3,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization
Mus_musculus,Mouse,PF00641,Zn_ribbon_RanBP,14,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF00642,zf-CCCH,32,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0008298:intracellular mRNA localization; GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF00644,PARP,15,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF01472,PUA,3,GO:0006403:RNA localization
Mus_musculus,Mouse,PF01509,TruB_N,3,GO:0006403:RNA localization
Mus_musculus,Mouse,PF02037,SAP,18,GO:0006403:RNA localization
Mus_musculus,Mouse,PF02136,NTF2,6,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF02881,SRP54_N,4,GO:0045047:protein targeting to ER
Mus_musculus,Mouse,PF03810,IBN_N,16,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF03943,TAP_C,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF04408,WHD_HA2,16,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization
Mus_musculus,Mouse,PF05641,Agenet,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF07717,OB_NTP_bind,17,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization
Mus_musculus,Mouse,PF08389,Xpo1,6,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF09162,Tap-RNA_bind,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF12235,FXMRP1_C_core,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF12874,zf-met,24,GO:0010609:mRNA localization resulting in post-transcriptional regulation of gene expression
Mus_musculus,Mouse,PF13865,FoP_duplication,5,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF14709,DND1_DSRM,4,GO:0010609:mRNA localization resulting in post-transcriptional regulation of gene expression; GO:0008298:intracellular mRNA localization
Mus_musculus,Mouse,PF17904,KH_9,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF18336,Tudor_FRX1,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF21010,HA2_C,18,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization
Mus_musculus,Mouse,PF22602,NXF_NTF2,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF24048,LRR_NXF1-5,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF26026,RNA_hel_CTD,4,GO:1904580:regulation of intracellular mRNA localization; GO:1904582:positive regulation of intracellular mRNA localization; GO:0008298:intracellular mRNA localization
Homo_sapiens,Human,PF00013,KH_1,30,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization; GO:0008298:intracellular mRNA localization; GO:0010609:mRNA localization resulting in post-transcriptional regulation of gene expression
Homo_sapiens,Human,PF00035,dsrm,17,GO:0008298:intracellular mRNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF00076,RRM_1,204,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF00118,Cpn60_TCP1,9,GO:0006403:RNA localization
Homo_sapiens,Human,PF00270,DEAD,71,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization; GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization
Homo_sapiens,Human,PF00271,Helicase_C,103,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization
